Gene	ds	sd
SRF	N	N
SRY	N	N
TAL1	N	Y
TEAD	N	N
YY1	Y	N
ZNF42	N	N
TCF3	Y	Y
AAA1	N	N
ABCG1	Y	Y
APP	Y	Y
ARX	N	N
ATF3	Y	Y
ATRX	Y	N
B3GALT4	N	Y
BCL2	Y	Y
BIRC3	Y	N
BMPER	Y	Y
C15ORF23	N	N
C20ORF54	N	N
C6ORF162	N	N
C7ORF41	N	N
CAMKK2	Y	Y
CCBL2	Y	Y
CCND1	Y	Y
CD40	N	Y
CDK8	Y	Y
CNOT2	N	N
CORE	N	N
COX6A2	N	N
CRB1	N	N
CTNNB1	Y	Y
DAXX	Y	Y
DBNL	Y	Y
DCN	N	N
DCUN1D5	N	N
DDX59	Y	N
DGKZ	Y	Y
DLX1	Y	Y
DLX2	Y	Y
EDEM3	Y	N
ENPP2	Y	N
ERO1L	Y	Y
ERO1LB	Y	N
FAIM2	Y	Y
FOXO1	Y	Y
FOXO3	Y	N
FUT4	Y	N
GRN	Y	Y
HAND1	N	N
HDAC1	N	N
HDAC7	Y	Y
HGF	Y	N
HSF1	N	Y
IRAK1BP1	N	Y
IRS1	Y	Y
LDHA	Y	N
LEF1	Y	Y
LPAR1	Y	N
LPAR3	Y	Y
MAFA	Y	Y
NEUROG3	N	Y
NFIB	Y	N
NFKB2	Y	N
NKX2-2	Y	Y
ONECUT1	Y	Y
PMAIP1	Y	N
PON1	Y	N
POU1F1	Y	N
PPM1H	Y	Y
PTCH1	Y	Y
QTRTD1	Y	Y
REG3A	N	N
SAMD3	Y	N
SLC43A3	Y	Y
SMARCA1	N	N
SMARCA1	N	N
STAT5A	Y	N
STEAP1	Y	N
TAL1	N	Y
TCF3	Y	Y
TCFE2A	N	N
ZBTB10	N	Y
ZBTB41	N	N
ZFP36L1	Y	Y
ZFP57	N	N
MZF1	N	Y
ZNF616	N	N
ZNRF2	Y	N
HNF1A	Y	N
TCF7	Y	Y
PBX1	Y	Y
PBX2	N	N
PBX3	Y	Y
PBX4	Y	Y
TEAD3	Y	Y
TEAD5	N	N
TEF5	N	N
TEAD2	N	Y
TEF4	N	N
TEAD1	Y	Y
TCF13	N	N
TEF1	N	N
MZF1	N	Y
MZF	N	N
ZNF42	N	N
ZSCAN6	N	N
KNSTRN	Y	N
SLC52A3	Y	Y
SMIM8	N	N
TEAD4	Y	Y
RTEF1	N	N
TCF13L1	N	N
TEF3	N	N
