Gene	ds	sd
ABCC9	Y	N
ABHD10	N	N
ACVR1C	N	Y
ADAMTS2	Y	Y
AGBL4	Y	Y
ANKS1B	Y	Y
ATRNL1	Y	Y
BARX2	N	Y
BMP5	Y	N
C1ORF158	N	N
C1ORF168	N	N
C3ORF14	N	N
LURAP1L	Y	N
CACNA1H	Y	Y
CACNA2D1	Y	Y
CACNB2	Y	Y
CADM1	Y	Y
CADPS	Y	Y
CERKL	N	N
CHODL	Y	N
CNTN1	Y	N
CNTN4	N	Y
CPE	Y	N
D4S234E	N	N
DACH1	N	Y
DCX	N	N
DGKB	Y	N
DIRAS2	N	N
DSCAM	N	Y
DZIP3	N	N
ELAVL4	N	Y
ELP4	Y	N
EML5	Y	N
ENAM	N	N
AMER3	N	Y
FAM135A	Y	N
FAM135B	N	Y
C2CD4A	Y	Y
FAM19A4	N	N
FAM84A	N	Y
FBXW7	Y	N
FGF14	Y	Y
FLJ25770	N	N
FOXC1	Y	Y
FOXP2	N	N
G6PC2	N	Y
GABRA1	N	N
GABRB3	N	Y
GABRG2	N	N
GAD2	N	Y
GDAP1	Y	N
GLP1R	Y	Y
GNAI1	Y	N
GPM6A	N	Y
GPR27	N	N
GRIA2	Y	Y
GRIA4	Y	Y
GRIK2	Y	Y
HMGCLL1	N	Y
HS6ST3	Y	Y
IAPP	Y	N
IGSF11	N	Y
ISL1	Y	N
JAKMIP2	N	Y
KBTBD7	Y	Y
KCNB2	N	Y
KCNK16	N	Y
KCNMA1	Y	Y
MTUS2	Y	Y
KIAA1257	Y	Y
MAP10	N	Y
NYAP2	N	N
KIAA1804	Y	N
KL	Y	Y
T	N	N
T	N	N
KLHL1	N	N
LIG4	N	Y
LIMCH1	Y	N
LRRTM3	N	N
LSAMP	Y	Y
MAGI2	Y	N
MAP9	Y	Y
MAPK10	Y	Y
MCTP2	N	N
MEIS2	Y	Y
MEIS3	Y	Y
MMP16	Y	N
MS4A8B	N	N
MYO3A	N	Y
NALCN	Y	Y
NBEA	Y	Y
NECAB2	Y	Y
NEGR1	Y	N
NEUROD1	Y	Y
NKX6-1	N	Y
NMNAT3	Y	Y
NOL4	N	Y
NR3C2	Y	N
NRXN1	Y	Y
TENM3	Y	Y
OXGR1	Y	Y
PAM	Y	N
PAPPA2	Y	Y
PAX6	Y	Y
PCDH17	N	Y
PCDH20	N	Y
PCDHAC1	N	N
PCLO	Y	N
PCP4	N	N
PDK4	N	Y
PDX1	N	Y
PDZRN3	Y	Y
PGR	N	Y
PRKACB	Y	N
PRUNE2	Y	Y
PVRL3	Y	N
RAB3C	Y	N
RALYL	Y	N
RASEF	Y	Y
RGS17	Y	Y
RGS4	Y	N
RIMBP2	N	Y
RIMS2	Y	N
RNF150	Y	N
RNF180	Y	Y
ROBO2	N	Y
ROR1	Y	Y
RORB	N	Y
RTN1	Y	Y
SCG2	Y	N
SCGB2A1	N	Y
SDK1	Y	Y
SERPINI2	N	N
SGCB	Y	N
SGCZ	N	N
SIM1	Y	Y
SLC17A6	N	Y
SLC18A2	N	Y
SLC30A8	Y	N
SLC35F4	N	N
SLC5A1	Y	Y
SLC5A8	N	N
SLC7A2	Y	N
SLCO1A2	Y	N
SNAP91	N	Y
SOX6	Y	N
SPATA7	N	N
SPTB	Y	Y
ST18	Y	Y
ST6GALNAC5	Y	Y
ST8SIA3	N	Y
STXBP5L	Y	Y
SULT4A1	Y	Y
SYT14	Y	N
SYT4	Y	N
TMEM132B	N	Y
TMEM132D	N	Y
TMEM196	N	N
TMEM61	Y	Y
TMEM63C	Y	Y
TRPM3	Y	N
TSC22D1	Y	N
TSHZ3	Y	Y
TSPYL5	Y	Y
TTC8	Y	N
UNC5D	Y	Y
ZNF223	N	N
ZNF585B	Y	N
ZSCAN18	N	N
ARNT	Y	N
NKX3-2	Y	Y
CPEB1	Y	Y
CEBPA	Y	Y
DDIT3	Y	N
ZEB2	Y	N
E2F1	Y	N
ELK4	Y	N
MECOM	Y	Y
FOS	Y	Y
FOXA2	N	Y
FOXD1	Y	N
FOXD3	Y	Y
FOXF2	Y	Y
FOXI1	Y	N
FOXQ1	Y	Y
GFI1	Y	Y
GFI1B	Y	Y
GFI	N	N
HAND1	N	N
HLF	Y	Y
HNF1A	Y	N
IRF1	Y	Y
IRF2	Y	Y
LHX3	Y	Y
MEF2A	Y	N
NFIL3	Y	N
NHLH1	Y	N
NKX2-5	Y	Y
NKX3-1	Y	N
NOBOX	Y	N
NR3C1	Y	Y
PBX1	Y	Y
PDX1	N	Y
PRRX2	Y	N
RELA	N	Y
REST	Y	Y
RORA	Y	Y
RORA2	N	N
RREB1	Y	Y
RUNX1	Y	Y
RXRA	Y	Y
SOX17	Y	Y
SOX5	Y	Y
SOX9	N	Y
SP1	Y	Y
SPZ1	Y	N
